X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 25 25
X32 26 27
X33 26 27
X34 25 28
X35 25 27
X36 26 26
X37 28 30
X38 31 32
X39 23 25
X40 26 26
X41 24 27
X42 29 29
X43 24 27
X44 27 27
X45 27 30
X46 30 35
X47 25 25
X48 27 29
X49 27 31
X50 29 29
X51 25 26
X52 26 31
X53 27 32
X54 30 33
X55 24 27
X56 27 30
X57 27 29
X58 29 32
X59 29 29
X60 29 33
X61 29 30
X62 32 35
