X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 X63 X64
X32 X65 X66
X33 X67 X68
X34 X69 X70
X35 X71 X72
X36 X73 X74
X37 X75 X76
X38 X77 X78
X39 X79 X80
X40 X81 X82
X41 X83 X84
X42 X85 X86
X43 X87 X88
X44 X89 X90
X45 X91 X92
X46 X93 X94
X47 X95 X96
X48 X97 X98
X49 X99 X100
X50 X101 X102
X51 X103 X104
X52 X105 X106
X53 X107 X108
X54 X109 X110
X55 X111 X112
X56 X113 X114
X57 X115 X116
X58 X117 X118
X59 X119 X120
X60 X121 X122
X61 X123 X124
X62 X125 X126
X63 19 22
X64 21 21
X65 21 21
X66 20 23
X67 21 21
X68 21 22
X69 23 23
X70 24 26
X71 23 23
X72 22 24
X73 22 25
X74 22 25
X75 22 25
X76 24 27
X77 23 25
X78 27 27
X79 22 24
X80 22 24
X81 24 25
X82 25 26
X83 23 24
X84 25 27
X85 25 25
X86 26 28
X87 24 25
X88 25 28
X89 26 29
X90 30 31
X91 28 29
X92 29 31
X93 28 31
X94 30 34
X95 21 24
X96 25 26
X97 23 26
X98 23 26
X99 23 25
X100 25 26
X101 25 25
X102 27 27
X103 23 26
X104 27 29
X105 25 26
X106 26 30
X107 27 27
X108 31 32
X109 30 33
X110 31 35
X111 22 25
X112 23 25
X113 25 25
X114 27 30
X115 24 26
X116 24 27
X117 25 25
X118 27 29
X119 24 26
X120 24 26
X121 26 28
X122 30 30
X123 28 30
X124 28 30
X125 30 35
X126 33 35
